,Items,Support,Confidence
101,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | S-2HND'}",0.002795338235926547,0.8552631578947368
102,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | S1'}",0.002795338235926547,0.9701492537313432
103,"{'MIKROTIK | SWITCH | SIAMOSERVIZISOLUZIONIWI4SPOTWI4TOWERISP', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
104,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | SOLUTIONS3G'}",0.002795338235926547,0.9701492537313432
105,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | US-8'}",0.002795338235926547,0.8666666666666667
106,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | WI4SPOT'}",0.002795338235926547,0.9558823529411764
107,"{'mikrotik mikrotik', 'MIKROTIK | SWITCH | WI4TOWER'}",0.002795338235926547,0.9558823529411764
108,"{'mikrotik mikrotik', 'MIKROTIK | SWITCHES | CCR12G'}",0.002795338235926547,0.8552631578947368
109,"{'MIKROTIK | SWITCHES | ROUTER108', 'mikrotik mikrotik'}",0.002795338235926547,0.8552631578947368
110,"{'MIKROTIK | SWITCHES | US-8', 'mikrotik mikrotik'}",0.002795338235926547,0.8552631578947368
111,"{'ROUTERBOARD | CAMERA | SIAMOSERVIZISOLUZIONIWI4SPOTWI4TOWERISP', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
112,"{'ROUTERBOARD | CAMERA | SOLUTIONS3G', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
113,"{'ROUTERBOARD | CAMERA | WI4SPOT', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
114,"{'ROUTERBOARD | CAMERA | WI4TOWER', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
115,"{'ROUTERBOARD | GATEWAY | V6', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
116,"{'ROUTERBOARD | ROUTER | G-5HPACD', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
117,"{'ROUTERBOARD | ROUTER | G-60AD', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
118,"{'ROUTERBOARD | ROUTER | GROOVE-52HPN', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
119,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | GROOVEA-52HPN'}",0.002795338235926547,0.9558823529411764
120,"{'ROUTERBOARD | ROUTER | GS-5HNT', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
121,"{'ROUTERBOARD | ROUTER | GX4', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
122,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | HACQ2HND'}",0.002795338235926547,0.9558823529411764
123,"{'ROUTERBOARD | ROUTER | L4', 'mikrotik mikrotik'}",0.002795338235926547,0.8333333333333333
124,"{'ROUTERBOARD | ROUTER | L5', 'mikrotik mikrotik'}",0.002795338235926547,0.9420289855072463
125,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | LITE5'}",0.002795338235926547,0.9285714285714285
126,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | MIKROTIKRBOMNITIKU-5HND'}",0.002795338235926547,0.9701492537313432
127,"{'ROUTERBOARD | ROUTER | OMNITIKU-5HND', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
128,"{'ROUTERBOARD | ROUTER | OSL4', 'mikrotik mikrotik'}",0.002795338235926547,0.8904109589041096
129,"{'ROUTERBOARD | ROUTER | QRT5', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
130,"{'ROUTERBOARD | ROUTER | QRT5AC', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
131,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | R5'}",0.002795338235926547,0.9558823529411764
132,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | RB3011'}",0.002795338235926547,0.8904109589041096
133,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | RB3011UIAS'}",0.002795338235926547,0.8666666666666667
134,"{'ROUTERBOARD | ROUTER | RB450', 'mikrotik mikrotik'}",0.002795338235926547,0.9154929577464788
135,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | RB450GX4'}",0.002795338235926547,0.9701492537313432
136,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | RB750R2'}",0.002795338235926547,0.8666666666666667
137,"{'ROUTERBOARD | ROUTER | RB911-5HN', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
138,"{'ROUTERBOARD | ROUTER | RB911G', 'mikrotik mikrotik'}",0.002795338235926547,0.9285714285714285
139,"{'ROUTERBOARD | ROUTER | RB911G5HPACD', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
140,"{'ROUTERBOARD | ROUTER | RB922UAGS', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
141,"{'ROUTERBOARD | ROUTER | RB922UAGS5HPA', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
142,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | RB953GS'}",0.002795338235926547,0.9420289855072463
143,"{'ROUTERBOARD | ROUTER | RB953GS5HNTRP', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
144,"{'ROUTERBOARD | ROUTER | RBGR52HPN', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
145,"{'ROUTERBOARD | ROUTER | RBGRA52HPN', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
146,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | RBM11G'}",0.002795338235926547,0.9701492537313432
